Asia,Afghanistan,Kabul
Europe,Åland Islands,Mariehamn
Europe,Albania,Tirana
Africa,Algeria,Algiers
Oceania,American Samoa,Pago Pago
Europe,Andorra,Andorra la Vella
Africa,Angola,Luanda
Americas,Anguilla,The Valley
Polar,Antarctica,
Americas,Antigua and Barbuda,Saint John's
Americas,Argentina,Buenos Aires
Asia,Armenia,Yerevan
Americas,Aruba,Oranjestad
Oceania,Australia,Canberra
Europe,Austria,Vienna
Asia,Azerbaijan,Baku
Americas,Bahamas,Nassau
Asia,Bahrain,Manama
Asia,Bangladesh,Dhaka
Americas,Barbados,Bridgetown
Europe,Belarus,Minsk
Europe,Belgium,Brussels
Americas,Belize,Belmopan
Africa,Benin,Porto-Novo
Americas,Bermuda,Hamilton
Asia,Bhutan,Thimphu
Americas,Bolivia (Plurinational State of),Sucre
Americas,Bonaire, Sint Eustatius and Saba,Kralendijk
Europe,Bosnia and Herzegovina,Sarajevo
Africa,Botswana,Gaborone
Polar,Bouvet Island,
Americas,Brazil,Brasília
Africa,British Indian Ocean Territory,Diego Garcia
Americas,United States Minor Outlying Islands,
Americas,Virgin Islands (British),Road Town
Americas,Virgin Islands (U.S.),Charlotte Amalie
Asia,Brunei Darussalam,Bandar Seri Begawan
Europe,Bulgaria,Sofia
Africa,Burkina Faso,Ouagadougou
Africa,Burundi,Gitega
Asia,Cambodia,Phnom Penh
Africa,Cameroon,Yaoundé
Americas,Canada,Ottawa
Africa,Cabo Verde,Praia
Americas,Cayman Islands,George Town
Africa,Central African Republic,Bangui
Africa,Chad,N'Djamena
Americas,Chile,Santiago
Asia,China,Beijing
Oceania,Christmas Island,Flying Fish Cove
Oceania,Cocos (Keeling) Islands,West Island
Americas,Colombia,Bogotá
Africa,Comoros,Moroni
Africa,Congo,Brazzaville
Africa,Congo (Democratic Republic of the),Kinshasa
Oceania,Cook Islands,Avarua
Americas,Costa Rica,San José
Europe,Croatia,Zagreb
Americas,Cuba,Havana
